City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Plymouth,Minnesota,55442,1,13,20,2,31,3,0,6,0,21,180,2,4,40,1,1,3,73,0,0,2,1,1,2,1,46,5,1100,1,1400,25,11000,170,1,160,0,-0.62,0
Burnsville,Minnesota,55337,0,14,493,3,84,0,0,0,0,237,742,6,64,582,0,247,9,179,0,0,13,3,6,0,62,19,89,76,0,6300,21,254,415,29,93,5,9.8,0
Sargeant,Minnesota,55973,2,20,170,37,0,24,6,4,1,230,330,16,830,2300,1,180,4,140,1,3,16,38,46,8,10,2000,26,110,2,0,0,0,180,29,200,3,20.59,0
Stillwater,Minnesota,55082,0,7,309,6,0,0,8,0,0,21,2008,252,20,357,10,41,5,10,0,0,8,8,7,12,15,52,11,110,0,0,0,0,1577,51,17,0,12.6,0
Oak Grove,Minnesota,55011,0,4,40,0,0,12,4,0,0,117,6994,0,4,119,7,20,4,6,0,0,7,0,0,0,20,14,2,24,3,0,0,0,26,5,4,0,11.3,0
Kimball,Minnesota,55353-4513,2,3,58,5,0,0,4,0,10,101,632,4,75,514,4,97,30,6,3,0,8,0,7,3,104,54,741,45,222,0,0,0,210,15,238,0,8.5,0
Blue Springs,Missouri,64014,10,3,53,5,307,3,0,107,0,30,3518,0,18,452,25,18,3,0,11,0,8,81,2,0,58,10,45,818,12,7046,4,748,2880,205,255,2,6.4,0
Joplin,Missouri,64801,116,11,1558,127,3612,51,20,70,23,286,7477,55,653,1971,3,93,78,12,9,6,23,12,27,3,49,147,85,670,13,37260,132,1059,1145,81,47,0,25.6,0
eureka,Missouri,63025,0,3,44,0,393,3,5,0,0,0,4346,0,133,416,3,56,0,0,0,0,12,3,5,0,36,36,80,164,7,18678,141,377,2896,75,3,0,2.0,0
Kansas City,Missouri,64157-7948,11,11,93,0,9,0,0,0,0,0,613540,0,46,58,551,14,4,0,4,0,6,0,0,5,3,58,0,768,0,901,3,171,26952,2861,202,0,4.4,0
Fenton,Missouri,63026-3420,0,0,29,3,0,0,8,0,0,21,1481,9,52,177,6,30,0,0,0,0,2,32,0,0,0,20,6,128,3,0,0,0,12416,8,20,0,3.2,0
Jefferson City,Missouri,65109,0,0,50,13,0,0,9,6,0,41,2287,4,87,94,6,27,0,9,0,0,0,0,3,0,33,45,95,2920,0,0,0,0,26622,13,3,0,2.3,0
OFALLON,Missouri,63368,54,22,34,33,0,3,2,0,0,25,955,5,48,188,6,15,37,117,0,6,7,2,4,4,12,44,28,133,4,0,0,0,5231,142,89,10,8.1,0
oFallon,Missouri,63368,20,16,28,64,0,2,3,4,0,12,1873,0,31,149,7,13,0,0,0,0,6,3,4,0,16,37,25,137,0,0,0,0,10496,763,7,4,3.8,0
Raytown,Missouri,64138,0,0,17,2,0,0,0,6,0,0,992,13,37,198,3,19,6,0,0,0,9,0,0,0,5,6,5,148,7,0,0,0,1553,30,27,0,0.2,0
lake St Louis,Missouri,63367,0,0,0,0,0,0,0,0,0,18,386,0,8,39,0,4,0,0,0,0,0,0,0,0,2,0,22,722,0,0,0,0,46038,114,0,0,-8.9,0
Weldon Spring,Missouri,63304,0,0,14,0,0,0,0,0,0,0,439,9,29,55,3,4,57,0,0,0,4,0,0,0,26,21,5,10,2,0,0,0,4341,179,20,0,1.4,0
Weldon Spring,Missouri,63304-1084,0,0,3,225,0,0,4,5,0,99,83,198,19,46,15,11,72,0,0,0,11,10,3,3,0,19,0,3,49,0,0,0,391,18,728,0,11.1,0
Excelsior Springs,Missouri,64024,1,0,330,5,0,4,0,91,10,37,170,2,170,150,1,15,210,6,0,0,26,0,2,3,1,92,14,500,2,0,0,0,470,54,95,0,8.58,1
Missoula,Montana,59808,0,0,6,0,104,0,0,0,0,0,3464,0,0,103,0,4,0,0,0,0,17,4,0,0,39,18,544,15,0,234,2,6236,467,18,0,0,-0.2,0
Laurel,Montana,590444,0,0,6,0,32,0,0,0,0,0,1278,0,0,116,85,25,0,0,0,0,0,2,0,5,18,10,19,255,0,309,2,982,1370,109,0,0,-0.5,0
Bozeman,Montana,59715,4,36,192,0,275,24,3,0,39,141,12332,0,3,1830,7,369,38,111,17,4,24,33,15,107,80,99,330,55,4,7234,36,35214,7906,104,492,2,15.4,1
